Ebita,JAN - DEC 2019,JAN - DEC 2020,JAN - DEC 2021,JAN - DEC 2022
 Income  4300 Sales,1500000.0,1875000.0,2437500.0,3656250.0
 Total Income,1500000.0,1875000.0,2437500.0,3656250.0
 Cost of Goods Sold,5000.0,25000.0,28095.0,5000.0
 COGS R&D Supplies,500.0,500.0,500.0,450.0
 COGS Variable Overhead ,800.0,650.0,800.0,950.0
 COGS Product Testing ,450.0,350.0,43000.0,48257.75
 COGS Supplies (MFG),190000.0,780000.0,1300000.0,1800000.0
 Consumables - COGS ,9000.0,30000.0,7000.0,30000.0
 COGS - Consulting ,138454.51,105000.0,138454.51,105000.0
 Employee Meals,350.0,2000.0,6000.0,2000.0
 519 COGS Salaries,150000.0,250000.0,500000.0,105000.0
 COGS Payroll Taxes ,45000.0,65000.0,70517.79,30500.0
 COGS Salaries-Payroll Expenses,80000.0,100000.0,100000.0,750000.0
 Total Cost of Goods Sold,425850.0,1217685.0,2087867.3,2766207.75
 GROSS PROFIT,1074150.0,657315.0,349632.7,890042.25
 Expenses,150.0,180.0,450.0,800.0
 S&M Programs -Paid Advertising/Ad Subscriptions ,30500.0,13895.0,11825.0,25000.0
  S&M Programs- Meals & Entertainment,6000.0,7000.0,4000.0,8000.0
 S&M Programs- Lodging,4500.0,4500.0,4500.0,4700.0
 S&M Travel/Gas Expenses ,1550.0,1590.0,150.0,9500.0
 S&M Programs - R&D Product Purchases ,4000.0,8000.0,4000.0,40000.0
 S&M Programs - Public Relations ,150.0,9500.0,750.0,10500.0
 S&M Programs - Events/Tradeshows ,1200.0,5000.0,5000.0,40000.0
 S&M Programs - Social Media,1500.0,50.0,4200.0,12000.0
 S&M Travel Expense,300.0,100.0,600.0,750.0
 Total S&M Expenses,450.0,930.0,25925.0,109700.0
 6700 Other Depreciation,500.0,800.0,500.0,1500.0
 7050 Charitable Contributions,250.0,2000.0,1200.0,10000.0
 7410 Travel Expense,35.0,450.0,1500.0,750.0
 7411 Meals,500.0,800.0,700.0,600.0
 Professional Fees,8000.0,15500.0,5000.0,4500.0
 Accounting & Finance,3100.0,9000.0,19000.0,42000.0
 Marketing,15500.0,5000.0,24000.0,82000.0
 7613 Consulting Expenses,18000.0,5000.0,3100.0,9000.0
 Legal-Corporate,42000.0,13000.0,4500.0,7200.0
 615 Legal-IP Counsel,14000.0,2000.0,5000.0,2600.0
 Total Professional Fees,83500.0,29000.0,50600.0,49200.0
 Office Expenses,9850.0,14000.0,5000.0,9000.0
 Postage and Delivery,110.0,350.0,200.0,350.0
 Dues and Subscriptions,350.0,180.0,1400.0,1400.0
 Bank Service Charges,590.0,280.0,2200.0,2600.0
 Tax,570.0,350.0,12000.0,22000.0
 Miscellaneous Expense,450.0,590.0,12000.0,2000.0
 Car Allowances ,1200.0,780.0,4950.0,4950.0
 Bad Debt Expense ,1500.0,340.0,2500.0,9220.0
 Payroll Salary Expense,5000.0,2500.0,5000.0,9000.0
 Total Payroll Salary Expense,9520.0,9700.0,1300.0,169420.0
 Total Expenses,138875.0,58040.0,109625.0,351770.0
 NET OPERATING INCOME,935275.0,599275.0,240007.7,538272.25
 Other Expenses,32000.0,2500.0,22500.0,4950.0
 Interest Expense,12500.0,200000.0,80000.0,4500.0
 Total Other Expenses,12500.0,16000.0,40000.0,50000.0
 NET OTHER INCOME,-12500.0,-16000.0,-40000.0,-50000.0
Ê,0.0,0.0,0.0,0.0
 NET INCOME,922775.0,599275.0,200007.7,488272.25
